"referee","Home Fouls","Away Fouls","Home Yellows","Away Yellows","Home Reds","Away Reds"
"M Riley","2418","2447","264","345","19","17"
"H Webb","3510","3597","427","555","12","21"
"A Marriner","3888","3979","529","646","22","37"
"C Foy","2840","2962","295","401","10","27"
"M Oliver","3434","3520","468","521","19","23"
"L Probert","1829","2016","194","264","12","19"
"M Dean","5889","5905","942","989","38","70"
"C Kavanagh","1046","1062","158","174","6","3"
"L Mason","3106","3300","398","484","14","26"
"S Bennett","2499","2571","300","419","11","30"
"P Dowd","3646","3983","436","629","23","42"
"M Halsey","2379","2589","186","284","11","15"
"J Moss","2833","2931","408","468","16","22"
"S Attwell","1610","1575","260","283","3","18"
"K Friend","2877","2933","435","469","14","17"
"A Taylor","3380","3177","515","538","24","19"
"M Clattenburg","3270","3332","435","518","30","17"
"C Pawson","2277","2295","327","376","13","18"
"M Jones","2256","2471","280","360","7","20"
"P Walton","1746","1870","203","278","9","11"
"A Wiley","2657","2718","287","351","8","20"
"M Atkinson","4815","5223","659","815","29","38"
"G Poll","1909","1934","181","253","7","8"
"N Swarbrick","1337","1425","220","220","7","4"
"R Styles","1892","2035","249","321","20","30"
"P Tierney","1377","1393","196","212","6","5"
